Text,label 1,label 2,accident_predicted,ner_locations
বান্দরবানে উজানী পাড়ায় মারমা বাজারে ভয়াবহ অগ্নিকাণ্ড! এতে বেশ কয়েকটি ঘরবাড়ি ও দোকানপাট নিমিষেই পুড়ে ছাই হয়ে গেছে।,1,natural disaster,1,"['বান', 'দর', 'মারমা']"
"রাঙামাটিতে মুদি দোকানে চু-রি: এসপি অফিস সংলগ্ন দোকান থেকে খাদ্যপণ্য ভর্তি বস্তা নিয়ে উধাও দুই যুবক, সিসিটিভিতে ধরা পড়েছে দৃশ্য।",1,crime,1,['রাঙামাটিতে']
মানিকছড়িতে প্রকাশ্য হা-মলা; লোহার রড ও ধারালো অ-স্ত্রের আ-ঘা-তে আ-হত ৩।,1,crime,1,"['মানিক', 'ডি']"
রাঙামাটি রিজার্ভ বাজার লঞ্চঘাটে চু-রি: দোকান থেকে মুহূর্তেই উধাও ৪ লাখ ৫০ হাজার টাকা।,1,crime,1,"['রাঙামাটি', 'রিজা', 'বাজার', 'ঘাটে']"
রাঙামাটির কাউখালী উপজেলায় নির্মাণকাজ করতে গিয়ে বিদ্যুৎস্পৃষ্ট হয়ে গুরুতর আহত এক রড মিস্ত্রির মৃত্যু হয়েছে।,1,natural disaster,1,"['রাঙামাটির', 'কাউখালী']"
কাপ্তাই হ্রদে ট্যুরিষ্ট বোটে মাদ-কের আসর; যৌথঅভিযানে মদ-ইয়া-বাসহ আ-টক-৮।,1,crime,1,"['কাপ', 'তাই', 'হর', 'দে']"
"বিলাইছড়ির কেংড়াছড়িতে গভীর রাতে ভয়া-বহ অ-গ্নিকাণ্ডে আ-গু-নে পুড়ে ছাই ইউপি সদস্য কাসেম মেম্বারের বসতবাড়ি, সর্বস্ব হারিয়ে নিঃস্ব পরিবার।",1,natural disaster,1,"['বিল', 'াই', 'ডির', 'কে', 'ডা', 'ডি']"
রাঙামাটিতে ভয়া-বহ সড়ক দুর্ঘ-টনা: শহরের প্রবেশমুখ টিভি সেন্টার এলাকায় প্রাণ গেল বেদে সম্প্রদায়ের এক নারীর।,1,road accident,1,"['রাঙামাটিতে', 'শহরের', 'পরবে', 'শম', 'টিভি', 'সেন', 'টার']"
"চাঁদের গাড়ি ও সিএনজির মুখোমুখি সং-ঘর্ষে আ-হত ৬, চারজনকে চট্টগ্রামে রেফার।",1,road accident,1,[]
কাপ্তাই হ্রদে পর্যটকবাহী নৌদু-র্ঘট-নায় স্বপ্রণোদিত হয়ে তদন্তের নির্দেশ আদালতের।,1,waterway,1,"['কাপ', 'তাই', 'হর', 'দে']"
বান্দরবানে আগুনে পুড়ল ৬টি বসতঘর ও ২টি দোকান...,1,natural disaster,1,"['বান', 'দর']"
